,Comments_lem
0,bonjour ca doit faire an environ membre showrooprive jamais soucis particulier part petite bricole par contre depuis derniers mois vraie catastrophe commandes annulées affiliés demander si ventes bien réelles histoires faire payer showroom joue argent faisant intérêts bancaires do ère commande machine cafés annulé mois après la e commande don call jennifer annulé mois après la e commande techwood annulé mois après je apprends toujours mail le message bateau malgré tous effort bien évidemment dédommagement ben non hein pourquoi faire doute site aussi fiable sérieux début final vais juste rester fidèle autre site marchand très décevant plus tout confiance recommande plus tout site fais part entourage réseaux sociaux afin éviter autres personnes connaissent type expérience
1,vente lacoste article manquant photo prise article moitié livrée sans explication manque respect numero commande
2,vente lacoste honteuse article erroné article manquant bon livraison retard service client désastreux après deux appels désastreux tenais avertir plus courageux oseront commander contacter service client showroom fait pire pire attention oreilles interlocuteur parle environnement très bruyant type chantier coup marteaux jet matériaux proximité micro demandez faire cesser nuisance répond non car entendent très bien erreur commande interlocuteur crois faut envoyer capture écran commande convaincre font bien importe quoi la commande arrive plusieurs fois vente retard article manquant bon livraison comprendre quoi sait rien impossible obtenir suivi livraison détails article manquants un article annulé showroom car plus stock toujours proposé vente commande n commande n ca fait beaucoup coup inadmissible fuyez
3,j ai commandé mule marque moosefield très déçue produit étiquette collée mule donc tâche produit très moyen
4,commande téléphone etat a livraison vieux téléphone pourri sans batterie rayé partout inaudible super affaire a poubelle merci showroomprivee passez chemin nuls contrôlent proposent a vente
5,commande passée vente lacoste livraison après date prévue déjà semaines après l achat produits manquants pro sérieux aucun geste commercial hormis remboursement promis article manquants
6,annulation commande après mois attente geste sans explication retard livraison report reprise résultat incompréhensible inadmissible recommande site mieux vaut aller vente privée attend a commande
7,extrêmement déçue vente apple achat iphone reconditionné grade a fournisseur pr phone recycle a fonctionné jours sav lamentable jusqu a jours répondre question prise charge frais retour réparation sav showroom lit mail diagonale répond côté lamentable téléphone encore récupéré dernier achat
8,extrêmement deçu achats lors vente dolores promesas j ai reçu vetements sale déja utilisées
9,s il y avait option mettre d étoile étoile c est trop contente j ai passé commande mi avril là mi juin l ai toujours reçu quand faire part ça réponde j ai commandé article jennyfer via site c est marqué colis expédié via mondial relay depuis plus rien numéro suivi
10,arnaque acheté combinaison blanche lieu disant reçu mois après trace noires ba combi surtout super transparente bref impossible mettre sous vêtements couleur chair grosse arnaque inadmissible vais renvoyer frais charge espérant être remboursée conseille tout showroom privé
11,bonjour commande fait showroom n point relais défini cette commande a déviée point d origine plus km bon vouloir transporteur réponse showroom n allez chercher remboursera quelle l interré commander d attendre plus d un mois remboursement amazon l ecoute respect client priorité merci prendre exemple
12,commander a problème retours c est très compliqué l article défectueux le conseillers n écoutent répétent toujours pareils très déçue hésiterais désormais commander site surtout j attends aussi commande lacoste prévue fête pères encore repoussée commande passée mai je trouve c est peu exagéré comme délai
13,robe achetées showroom privées fille fille dit qu il a trou donc regarde coup deux robe toutes deux défectueuses trou niveau couture l une maille sortie l autre retourne donc colis prenant peine mettre post it là où robe abimées renvoie colis retour gratuit plusieurs jours après reçois mail showroom disant remboursement a effectué sauf m ont enlevé frais retour inadmissible n est a payer leurs robe défectueuses impossible faire réclamation service client depuis h message d erreur m empêche faire comme hasard quand valide réclamation ça marche lâche rien veux être remboursée j ai pris photo
14,voleurs showroomprivé vend ipad reconditionnés mauvais état rejettent faute leurs fournisseurs laisse démerder disant doivent appeler j attends toujours depuis janvier sara service client comprends explication tout renseignement voici numéro veepee a problèmes sérieux
15,bande incapable savent expédier colis quand malheur demander faire parvenir possible rembourse tout ça sans excuse ni geste commercial satisfaction client chez priorité
16,achete pergola shorom vendu sourcidys a tour paye frais livraison il colis reçu manque ème contient pieds depuis juin nouvelles société répond ni a ni a shorom du coup impossible monter paye rien site banir shorom a suite pris réclamation compte rien bouge
17,colis arriver abimé meuble hannah home finition ba gamme très déçu envie renvoyer colis demande retour demander juin voila j attend toujours l étiquettes retour service client téléphone non efficace juste répondre appels donc problème non résolue jour je laisserais avis favorable retour showroomprive
18,fuir showroomprive ca problème service client déplorable nul j en passe j ai passé commande mai vente lacoste reçois mail m informant livraison va être retardé plus tard juin or jour reçois colis article manquants commande comment numéro vente lacoste j ai passé cette commande l espoir l offrir fête pères arrive dimanche jour retrouve commande incomplète aucune information reste commande showroom répond d attendre mdr malins cela culotté n est première fois rencontre problèmes colis franchement déconseille vivement maintenant d acheter showroomprive commande n arrive commande incomplète explique casse tête être remboursé tout ca plus cliente chez attention futur acheteur prévenu incompétence showroomprive aujourd hui juin n aurais certainement reste commande dimanche image client sais répondre où reste commande font ventes savent assumer savent répondre leurs client alors merci rembourser plus vite m envoyer commande dès aujourd hui cher service client showroomprive faire preuves car vu commentaires négatifs pense allez perdre mal client
19,j ai fait commande d une sacoche d un pull lacoste a ça mois demi déjà temp d attente énorme n est si grave par contre colis n ai reçu qu un article deux j ai envoyé mail hier n ai toujours réponse
20,répondent mail réclamation malgré relance suite message truspilot laissent message toujours truspilot m indiquant qu il vont contacter j attends encore j ai nouveau relancé mail téléphone supposée avoir reçu mail juin dernier rien boîte réception rien spam bonnes gen fuyez
21,service client expéditif mauvaise qualité après avoir telephoné connaitre procédure renvoi personne a informé correctement après erreur refusé remboursé article a fuir problemes chez
22,showroom s est trompé l envoi commande montre je n ai reçu l article commandé mais retour doi payer l affranchissement l erreur côté retour devrait être gratuitencore plan malhonnête cette enseigne vend vraies marque nettoyeur vapeur polti j ai vu commerce site polti l emballage laissait désirer colissimo a tout renforcé l adhésif a nom etelle vend article marque existées autrefois arrêté leurs commerce chinois rachètent marque chinois créent également marque noms européens cela sonne bien le montres correspondent prix d origine soi disant affichés fait soldes semblent tres intéressantes montre a soldées e cela semble t il possible n est type montres j ai acheté a également article correspondent exactement photo comme bagues sac marque soldes semblent douteuses c est camelote mauvaise qualité donc ayoub c est inutile faire réponse part showroom site trust pilote directement contact euxmais vu réponses toujours mêmes demande si existez vraiment si robot
23,service client épouvantable malhonnête refusé colis déchiré contenant tasse cassées showroomprivé refuse rembourser car transporteur a noté colis comme livré fait croire enquête auprès transporteur duré jours selon finalement répondre colis a livré viens écrire car téléphonistes lamentables fais illusion showroomprivé terminé pourtant beaucoup acheté site depuis années accepte faire voler comme ça
24,j ai toujours cliente chez showroom jamais déçue a quelques jours reçois article non conforme m envoie bon retour doi faire l avance frais hors question dit m envoyer bon chronopost j ai juste mettre colis boîte lettres sauf reçois bon rebelote a disant problème bons retour bref tant pi vais revendre l article certainement plus cher celui viens recevoir hyper déçue
25,très déçue souvent commandé showroom privé toujours livrée rapidement je commande maillot bain reçois message informant retard livraison maintenant annoncée jour départ vacances aucun numéro suivi mondial relay donc impossible savoir où colis commande
26,site propose beaucoup article prix très intéressants pb commandes arrivent jamais rupture stock colis perdu endommagé etc vrai perdez argent car remboursent produits site éviter fortement
27,voleur escroc très mauvaise expériencelivraison reçu moitié après avoir contacté service client aucune réponse aucun dédommagement dédouanement rejettant faute fournisseur injoignable scandale a fuir
28,tres mauvais service retour deux semaines réceptionner retour plus payante plus cher frais livraison paye initialement plus jamais achete showroom
29,ça fait mois commande être livré showroom fait traîner affaire malgré appels message pourtant chronopost a indiqué colis comme perdu
30,cliente depuis années déception totale reçu colis endommagé manquait produit petite valeur semaines d investigation obligatoires reçois mail disant commande bien livrée mauvaise réponse part quitte fichier client plus retours payants
31,commandes partiellement livrées certes reçoit remboursement produits non livrés qu en est il frais livraison devraient être réduits plutôt annulés complétement geste commercial est il normal quand valide commande l on puisse avoir produits cette époque où l on connait stock tout instant plus cela fait plusieurs fois ricard produit souhaitais surtout n est plus disponible après commande comme plus plus site bien compliqué faire part telle situation avoir réponse
32,dernièrement j ai publié avis mentionnant mauvaise expérience lors l achat d un lot boxer filum après plusieurs échanges showroomprive service client a finalement accepté retourne article analyse a abouti décision rembourser bravo showroomprive avoir accepté revoir position
33,plus jamais escrocs voleurs qualités produits minables
34,mêmes horribles expériences beaucoup autres personnes ici apparemment très bonne cliente showroom car marque prix proposés intéressants énorme détérioration service fait sentir depuis quelques temp plus moyen recevoir seule commande conforme toujours erreurs article commande jupe reçois chaussures hommes commandes perdues nature incomplètes sans moindre explication si fait pieds main auprès service client répond semaines plus tard retours frais client tout bonnement inacceptable résultat adorais showroomprive maintenant bout dizaine commandes défectueuses assez perdre temp argent commande concurrence a jamais aucun souci showroomprive mène politique idiote client vraiment pris vache lait seulement bon donner sous sans soucie satisfaction service client quasi inexistant aucunement écoute a limite arnaque comprends site encore fermé a entêter cette voie showroom train perdre tous client
35,bonjour j ai réservé voyage l egypte site showroom bien débités l argent er fois voyage a annulé l opérateur travel evasion d après j ai reporter vacances eme nouveau annuler aucunes explication ni phone ni mail départ prévu juin j apprends avant jours voyage encore annulé comprends pourquoi donné l egypte ouvert touristiques travaillant l aéroport plusieurs personnes rendent attention conseille faire attention site travaillent argent pendant temp appelez site malheureusement personnes bout fils mesure répondre plus personne rappel également
36,j ai passé commande fin janvier l ai reçue février c est montre vente ourlet surprise qu il a défaut invisible c est dysfonctionnement fermoir quand j ai essayé contacter fournisseur adresse mail introuvable contre j ai envoyé mal mail showroomprivée renseigner service après vente car j ai garantie mois meilleure c est qu on a dit garantie couvre fermoir montre navrés fermoir montre cassé non excusez moi c est défaut venu montre fermoir tient j ai pris photo montre toujours neuve a encore réponduvraiment éviter c est première dernière fois j achète chez vraiment déçue
37,jusqu présent j étais très satisfaite showroomprive commandes conformes lorsqu il a soucis oui c est arrivé mauvaise pointure flacon ouvert déversé colis service client a toujours fait mieux vi martinique l un rares site livrer certes livraison plus coûteuse cela restait raisonnable seulement depuis qq temp cela s est détérioré frais livraison commencé augmenter façon surréaliste faire livrer mascara cela m en coûterait depuis qq temp commandes facilement jugées trop volumineuse impossible donc faire livrer shampoing moque monde
38,passé commande article brosse electrique recharges reçois mail dire colis arrivé vais chercher point relais surprise enveloppe contient uniquement recharges appel service client showroom privée sort doi appeler vendeur étonné car lors débit carte a bien écrit intitulé showroom a jour réponse part tres déçu cette société terminé commande plus chez recommande tout
39,profite d une vente eastpak changer sac fille vient lâcher je choisis modèle out of office connais bien puisque soeurs choisit couleur bleu canard noir aujourd hui allons récupérer mauvaise surprise déballage c est modèle pad couleur crafty moss donc ni bon modèle ni bonne couleur viens d imprimer bon retour j espère bien être remboursée totalité somme versée malgré commentaires désastreux viens lira site fuir
40,aujourd hui c est anniversaire showroom privé pensé m envoyant bon d achat boite mail super fonce commande paire basket problème bon d achat passe commande validée j appelle écris service client qu on déduisez commande impossible dit conseillère devez vérifier date anniversaire c est cela oui m apprend commande validée bon d achat envoyé autre adresse mail n ai droit bon d achat cette commande faut repasser nouvelle commande c est cela oui c est moche manquer savoir vivre point refuserai colis une nouvelle fois face manque souplesse
41,achat d un coupon réduction site apprendre l anglais offre bien moins chère site officielle coupon disponible tout suite après l achat fonctionnel
42,j ai commandé tapis a deux mois livrables début mai début mai problèmes technique retard traitement chez showroom puis livraison prévue mai colis arrivé chez transporteur mai contact prise rdv juste date livraison prévue mai niveau suivi colis contact auprès showroom disent qu il vont intervenir réception d un mail bout quelques jours livraison cours date précise appel nouveau relance enquête réponse livraison cours j appelais sans cesse plate excuse chaque fois puis mail date livraison juin entre heures a heures aucune livraison recontact showroom lundi matin société livraison relais colis contacte s excuse disent qu il a beugue informatique rdv parvenu prise rdv téléphone rdv pris jeudi juin entre h h aucune livraison j appelle showroom nième fois m énerve tombe nième interlocuteur incompétent répond qu il peuvent rien faire commande cours là j explose colère cela a trop durer car personne peut dire où colis car apparemment arrivé mauvais dépôt propose d annuler commande procéder remboursement ok là pose clairement question doivent il attendre retour commande déclencher remboursement a affirmé non quelques minute après avoir raccroché reçois mail m informant l annulation remboursée quand commande réceptionnée chez rappelle là doi encore répéter l historique m annonce oui devrai attendre j ai demandé parler responsable h plus lors d un appel semaine dernière h matin idem j avais aussi demandé parler responsable encore arrivé j ai demandé celui ci rappelle arrivée j attends toujours appel aujourd hui j ai attendu qu un responsable rappelle toujours rien ce matin j ai voulu voir si commande bien annulée découvre message comme quoi commande retournée mauvais état qu il allaient procéder remboursement semblait avancer boum cet après midi reçois appel transporteur aucune excuse non livraison d hier simplement reprendre rdv mardi prochain moque t on toujours commande entrepôt leurs agent venue signaler matin coin traînait commande depuis bon moment fuyez cette société n est première fois j ai problèmes fuyez ventes linge lit color full affreux qualité zéro moins cinq correspond commandez plus frais retour charge payez petit peu plus cher allez ailleurs prends jour contact ufc choisir
43,suite fin dessous c est bizarre depuis j ai communiqué numéros commandes demandées showroom compte bloqué cela résume l éthique cette entreprise vais aller voir côté choisir l on dit trustpilot envoyé mail car vu réaction tiens avis restent publiés envoi toutes info si c est nécessaire me commandes fais désormais chez concurrents
44,bonjour après annulation commande chaussures annulée effectuée autre vente a validée le service client a assurée mail allaient livrer date prévue hier commande a annulée nouveau sans raison je demande si cette vente a bien existé agit juste vente fictive le service client a adressé exactement message dernière fois il jamais contactée je extrémement décue regrette avoir perdu temp argent commandant chez sowroomprivéje remercie
45,frais retour alors livraison vers chez quelle arnaque si j avais su j aurais gardé article jamais déçu retours autres enseignes c est toujours gratuit alors là faire payer double c est aberrant
46,a fuir compte bloqué dès souhaitez retourner article impossible avoir réponse concrète service client allez voir ufc choisir cela semble être pratique courante blocage compte sans raison moment où passez commande lorsque devez retourner je préfère payer plus cher veepee moins sav être respectée tant cliente
47,fait achat canapé chez showrooprive maison aubertin vendu disant faisais donc économie plus allée voir curiosité car amis dit showrooprive arnaquait client effectivement canapé couleur vendu grosse arnaque ça craint vraiment appelé sav showrooprive a proposé refuser canapé livraison franchement bravo jamais vu
48,avant passer commande site j ai voulu voir avis concernant j ai bien fait parcourant topic remarque qu il a plus négatif client satisfaits plus réponses service client réponses type mr ayoub rien dit plaintes client résolus vais voir ailleurs
49,franchement vol acheté bijou irl arrivé pierre manquante appelle sav demande faire retour précisant objet endommagé défectueux livraison achat remboursé entièrement reçois remboursement aujourd hui déduction frais retours inadmissible sachant bijou a envoyé déjà défectueux sav réponds motif retour valide ça retire frais quelle arnaque envoyé bijou mal fait encore garder argent gen et dire a service contrôlé qualité attend mail service car demande photo bijou avant retour heureusement penser après plusieurs mésaventures showroom privé pense plus acheter site déçu cette expérience si retour ça reste sous sortis poche
